X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1998,537,-634,130.9,-110.3,-174.8,-77,-613,64,1
-1793,558,194,-159.8,-100.3,-210.8,-2,-627,39,1
-569,-992,-447,44.1,-15.2,-92.3,59,-643,58,1
-34,984,-315,304.7,45.7,82.6,37,-602,-14,1
-131,397,-189,-21.3,139.0,138.4,-16,-577,-30,1
-555,78,-77,21.5,161.5,237.2,-109,-562,-4,1
-1164,429,53,-44.3,196.7,289.1,-212,-510,19,1
-1998,-324,-176,-122.9,194.1,317.2,-310,-446,96,1
-1998,-1110,359,-118.3,155.2,257.7,-359,-369,163,1
-1792,-1998,505,-1.6,42.4,-0.9,-385,-324,201,1
-1485,-402,-1239,17.0,-69.3,-141.9,-374,-371,181,1
-1710,-668,-651,-293.3,-40.6,-219.4,-340,-416,171,1
-905,-1038,-418,97.8,-41.6,-131.7,-321,-485,176,1
-924,729,275,107.1,-21.5,-71.5,-297,-489,138,1
-1082,-703,-316,-50.1,-4.5,-44.3,-284,-515,141,1
-962,134,4,69.5,-9.1,-17.1,-281,-516,135,1
-987,-265,-145,-11.9,-5.2,-28.4,-278,-521,134,1
-967,-57,-50,35.2,-4.8,-34.3,-258,-529,121,1
-1161,-277,-129,12.1,-15.1,-52.2,-254,-537,125,1
-1267,129,-355,24.7,-47.1,-78.3,-222,-555,102,1
-1536,135,40,10.3,-75.7,-120.1,-184,-571,74,1
-1864,28,-233,20.4,-102.0,-159.7,-137,-596,63,1
-1998,1147,-546,145.2,-94.7,-182.9,-58,-607,18,1
-1252,-358,-433,-181.4,-84.4,-208.1,25,-626,39,1
-410,-988,-348,64.5,19.6,-55.3,61,-624,32,1
30,1051,-212,225.1,65.5,99.2,29,-574,-41,1
-370,120,-215,-6.1,139.3,177.8,-42,-566,-50,1
-618,300,55,35.5,163.1,253.8,-137,-534,-30,1
-1423,383,81,-79.2,199.9,301.0,-233,-486,14,1
-1998,-668,-109,-132.5,174.1,331.8,-324,-419,75,1
-1998,-1487,251,-173.0,135.0,245.7,-367,-338,149,1
-1686,-1998,591,50.4,25.1,-17.9,-379,-330,172,1
-1955,1716,330,75.8,-97.6,-147.2,-364,-368,141,1
-427,-1309,-914,-100.2,-28.9,-158.2,-333,-446,156,1
-1354,-119,125,161.6,-50.1,-98.7,-300,-490,122,1
-959,164,104,-43.8,-6.6,-62.4,-289,-501,112,1
-985,-468,-288,41.0,-4.1,-19.8,-280,-515,110,1
-998,145,37,20.2,-6.4,-15.6,-270,-508,103,1
-980,-327,-119,21.9,-4.2,-20.6,-265,-515,104,1
-1033,154,-59,45.2,-9.7,-31.4,-260,-515,93,1
-1167,-159,-200,8.1,-32.8,-65.2,-240,-517,84,1
-1393,120,-98,2.9,-63.0,-97.6,-217,-550,68,1
-1661,153,-196,-17.2,-92.7,-137.3,-178,-569,51,1
-1995,289,-608,77.4,-117.6,-168.4,-117,-588,35,1
-1895,866,18,20.5,-97.5,-190.5,-33,-597,19,1
-793,-638,-137,-67.2,-51.7,-149.8,43,-620,21,1
-180,276,-689,234.9,33.5,26.0,39,-591,-19,1
86,763,-26,66.3,110.3,99.9,-7,-553,-50,1
-569,-26,-115,7.9,160.4,213.2,-87,-551,-19,1
-920,530,138,-19.8,190.2,272.3,-195,-508,0,1
-1998,-99,-209,-97.1,198.6,314.0,-290,-447,56,1
-1998,-788,296,-97.1,167.2,276.3,-350,-363,122,1
-1922,-1998,398,-170.5,99.1,126.0,-377,-312,178,1
-1709,-883,680,13.0,-43.2,-125.9,-371,-337,173,1
-1791,1219,1252,-33.6,-90.7,-163.8,-353,-388,156,1
-576,-1868,30,-69.1,-36.1,-158.4,-319,-459,175,1
-1181,171,288,148.7,-36.4,-82.1,-292,-484,128,1
-1038,-490,-164,-58.7,-8.2,-56.2,-283,-504,108,1
-952,-99,-114,68.8,-9.0,-18.8,-275,-509,109,1
-991,-87,-52,0.7,-9.2,-23.7,-268,-512,104,1
-1031,-199,-7,46.7,-7.3,-22.1,-258,-514,97,1
-1074,118,-76,20.3,-17.5,-42.1,-256,-522,81,1
-1190,-123,-167,19.8,-36.6,-63.5,-236,-529,79,1
-1400,75,-122,2.3,-71.2,-109.8,-210,-549,58,1
-1849,280,-246,5.5,-109.0,-158.2,-157,-574,50,1
-1998,1181,-713,127.0,-105.7,-192.1,-89,-584,-4,1
-1293,-415,-648,-194.2,-87.7,-209.7,-2,-607,11,1
-201,-630,-678,69.8,0.0,-75.3,42,-627,16,1
107,1065,-47,231.2,53.0,94.4,23,-571,-45,1
-329,220,-263,-31.2,137.4,166.3,-54,-557,-28,1
-632,167,-22,19.4,158.2,252.7,-146,-530,-14,1
-1438,369,76,-91.0,198.9,312.3,-251,-475,32,1
-1998,-602,-250,-153.5,166.6,317.1,-338,-392,102,1
-1998,-1954,-39,-174.4,127.0,221.3,-372,-332,177,1
-1879,-1493,799,62.7,7.6,-59.8,-374,-328,184,1
-1934,1527,989,86.7,-94.9,-139.5,-355,-385,148,1
-153,-1729,-648,-99.0,-30.2,-165.0,-323,-456,164,1
-1345,49,178,166.6,-50.4,-98.3,-299,-486,129,1
-970,-38,12,-57.7,-7.0,-63.0,-275,-503,121,1
-927,-378,-254,63.2,-9.7,-11.9,-278,-517,111,1
-1009,177,78,1.2,-6.0,-19.1,-266,-511,108,1
-993,-189,-92,34.1,-5.4,-21.9,-266,-515,100,1
-1123,113,-46,9.1,-19.1,-49.7,-261,-519,95,1
-1232,-74,-149,16.8,-39.4,-73.1,-230,-536,81,1
-1443,206,68,4.7,-68.3,-112.2,-206,-556,68,1
-1710,-32,-333,-11.9,-98.7,-150.8,-155,-581,60,1
-1997,588,-771,120.6,-109.5,-178.7,-84,-595,18,1
-1802,169,-74,-160.2,-99.6,-208.9,-5,-603,12,1
-620,-982,-630,78.1,-2.0,-92.2,53,-618,34,1
162,1112,34,193.7,58.2,81.2,36,-581,-29,1
-312,93,-268,-64.6,143.9,159.9,-22,-573,-28,1
-633,155,-80,16.7,162.9,251.4,-109,-559,-14,1
-1397,279,19,-63.6,199.1,302.8,-214,-494,44,1
-1998,-570,-265,-92.8,192.4,322.3,-325,-420,110,1
-1998,-1282,386,-119.4,138.6,224.2,-374,-343,178,1
-1774,-1998,756,46.2,18.5,-53.9,-381,-328,194,1
-1763,1600,-81,33.8,-74.1,-114.9,-362,-386,188,1
-1598,-1475,-1177,-319.4,-19.7,-248.2,-329,-453,191,1
-1081,-559,-153,154.4,-60.7,-120.3,-303,-494,157,1
-911,506,280,24.1,-12.5,-72.8,-271,-503,138,1
-1047,-667,-340,7.9,-2.9,-34.3,-270,-517,140,1
-1006,205,12,51.9,-6.7,-16.5,-270,-527,137,1
-977,-347,-178,17.0,-4.1,-24.9,-262,-534,123,1
-955,0,-106,29.6,-8.8,-37.1,-255,-535,127,1
-1126,-180,-223,22.6,-25.7,-57.8,-242,-542,115,1
-1412,96,-248,13.0,-55.7,-90.7,-214,-554,101,1
-1724,253,-107,-2.1,-88.2,-139.4,-183,-591,77,1
-1998,306,-544,75.7,-114.5,-183.0,-106,-603,62,1
-1998,1220,-71,52.5,-90.2,-199.1,-37,-599,20,1
-869,-829,-75,-78.4,-54.9,-154.9,37,-626,48,1
-205,289,-775,300.1,32.9,61.3,59,-603,3,1
168,850,100,-2.1,120.4,117.6,2,-568,-42,1
-482,-7,-102,18.6,150.4,224.2,-77,-558,-32,1
-956,466,81,-7.9,184.3,281.9,-171,-522,-16,1
-1998,88,-153,-100.1,197.6,319.8,-285,-462,38,1
-1998,-1097,122,-129.1,161.8,278.6,-352,-379,112,1
-1857,-1998,264,-106.1,101.2,127.6,-384,-314,172,1
-1545,-910,733,10.7,-44.0,-136.5,-374,-346,170,1
-1676,1662,1486,-193.8,-75.1,-162.3,-352,-397,145,1
-330,-1854,-154,-9.1,-35.6,-167.3,-318,-473,165,1
-1035,199,385,163.6,-41.7,-77.2,-297,-485,115,1
-1022,-178,-160,-59.8,-1.3,-58.2,-277,-501,119,1
-927,-271,-174,74.8,-6.0,-15.8,-279,-509,118,1
-964,-11,-24,-8.8,-4.7,-25.4,-270,-508,108,1
-999,-159,-70,45.7,-1.5,-25.5,-265,-524,114,1
-1158,47,-101,17.5,-17.9,-51.5,-255,-514,102,1
-1209,-8,-156,25.1,-46.4,-80.7,-231,-536,85,1
-1463,145,78,4.6,-73.2,-120.7,-201,-553,78,1
-1887,113,-383,15.1,-104.2,-161.9,-138,-584,55,1
-1998,1319,-673,155.8,-96.3,-191.3,-80,-592,11,1
