X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1274,-1998,1509,-52.8,26.8,106.2,-234,40,388,2
-1864,-1998,-729,-257.8,-7.0,-208.1,-278,32,335,2
1333,1985,35,246.4,-97.3,-240.2,-341,-95,367,2
-331,-1615,-505,52.4,-49.3,-140.8,-369,-152,339,2
-1998,-106,294,-20.3,-75.6,-52.9,-392,-184,326,2
-1847,532,-330,15.8,-45.3,-85.1,-390,-204,302,2
-1893,1617,73,86.0,-60.9,-132.3,-400,-247,280,2
-1876,-106,-603,-106.9,-108.4,-285.3,-393,-332,253,2
-1644,919,-1106,303.2,-69.5,-209.5,-360,-424,203,2
-563,1534,-585,29.8,-30.3,-55.9,-349,-437,160,2
-45,-303,-512,-144.7,115.4,212.3,-359,-418,210,2
-421,-199,-445,61.8,188.4,382.9,-393,-300,274,2
-1988,454,59,-24.2,283.0,454.3,-362,-159,355,2
-1998,-1998,1183,-236.5,197.1,332.6,-281,-27,402,2
-750,-1998,1241,-95.6,-4.2,46.7,-235,35,397,2
-1998,-1998,-172,-272.3,-41.6,-451.2,-289,19,330,2
-721,961,887,1.1,-117.0,-224.7,-350,-106,356,2
-1235,-459,-113,96.3,-50.8,-134.1,-371,-168,335,2
-1998,-153,406,-26.8,-65.9,-68.6,-376,-193,310,2
-1831,493,-625,66.5,-36.5,-90.2,-391,-215,299,2
-1961,1458,-84,-83.2,-89.6,-146.5,-389,-262,284,2
-1998,-552,-518,-100.1,-115.2,-306.1,-381,-343,241,2
-1436,1221,-741,325.4,-100.6,-202.1,-353,-419,196,2
-444,1336,-568,-6.3,-33.5,-48.1,-327,-457,151,2
51,-332,-539,-145.8,95.3,191.8,-352,-434,198,2
-425,-218,-492,82.5,173.5,416.5,-394,-287,243,2
-1811,878,18,30.0,300.1,462.8,-366,-132,339,2
-1998,-1998,779,-311.2,184.5,336.7,-279,13,366,2
-558,-1998,184,-166.4,0.0,70.0,-231,68,344,2
-1998,-1998,-890,-62.5,-14.6,-449.6,-295,18,308,2
-307,827,791,-19.6,-103.6,-235.7,-353,-90,344,2
-1092,-505,69,103.2,-43.6,-123.2,-382,-150,326,2
-1998,-57,316,-21.0,-61.3,-54.4,-393,-176,303,2
-1783,630,-551,41.8,-30.1,-94.7,-388,-204,292,2
-1960,1417,134,-86.1,-83.7,-189.8,-403,-254,270,2
-1998,-383,-720,-1.8,-96.0,-313.5,-391,-357,237,2
-1613,1485,-674,360.6,-87.3,-189.9,-355,-427,186,2
-93,935,-564,-90.0,-2.9,-36.7,-335,-452,162,2
133,-413,-530,-127.0,114.5,200.7,-361,-427,207,2
-417,132,-420,68.5,195.7,380.4,-392,-303,283,2
-1957,798,312,9.5,276.3,457.8,-355,-162,368,2
-1998,-1993,825,-305.9,154.4,315.9,-283,-16,399,2
-827,-1998,1255,-107.2,-5.1,24.2,-228,50,382,2
-1654,-1998,1488,-74.4,-106.4,-464.8,-281,18,331,2
-1298,157,1253,-61.6,-101.5,-243.8,-346,-103,366,2
-1278,-248,0,96.3,-42.7,-112.1,-370,-157,354,2
-1998,14,182,-26.2,-65.5,-78.8,-380,-189,337,2
-1687,322,-530,60.6,-31.3,-90.1,-382,-221,313,2
-1987,1554,228,4.4,-69.7,-138.1,-393,-264,302,2
-1990,-360,-595,12.3,-94.8,-306.1,-379,-347,272,2
-1635,1255,-983,388.8,-82.4,-159.5,-349,-441,204,2
9,998,-467,-76.0,14.0,17.8,-344,-457,201,2
-153,-366,-505,-112.0,120.5,254.8,-363,-395,250,2
-650,120,-436,69.0,194.0,411.8,-397,-267,303,2
-1998,304,207,-31.3,278.4,451.0,-342,-115,379,2
-1998,-1998,825,-258.0,176.6,315.9,-258,15,409,2
-640,-1998,742,-128.2,1.0,29.7,-222,60,392,2
-1998,-1998,-1996,-39.4,-13.6,-455.0,-274,3,374,2
467,1321,584,19.5,-93.5,-255.2,-342,-102,364,2
-1102,-560,43,75.3,-55.3,-132.3,-372,-169,367,2
-1998,-85,288,-14.2,-71.9,-52.4,-384,-189,328,2
-1736,369,-372,18.2,-40.6,-88.9,-391,-217,319,2
-1885,1462,169,89.9,-52.1,-120.6,-394,-263,310,2
-1955,-1,-541,-111.5,-107.5,-289.2,-390,-343,274,2
-1630,817,-1043,273.2,-71.1,-186.6,-355,-439,224,2
-563,1530,-559,-30.1,-9.2,-10.2,-339,-466,177,2
-67,-273,-408,-133.3,100.3,217.4,-361,-428,216,2
-458,-98,-509,55.5,168.0,405.7,-394,-312,274,2
-1972,399,198,39.6,264.4,468.1,-363,-157,351,2
-1998,-1998,1059,-258.0,199.8,348.4,-279,-22,408,2
-724,-1998,1128,-118.0,1.9,59.5,-228,41,386,2
-1771,-1998,-1997,-185.2,31.2,-240.5,-267,41,347,2
800,1997,1144,56.0,-105.1,-236.8,-338,-82,371,2
-740,-1250,-192,98.1,-48.3,-123.6,-367,-155,344,2
-1998,-218,174,-23.2,-68.2,-60.5,-380,-187,324,2
-1808,364,-391,17.5,-40.5,-75.8,-396,-212,312,2
-1727,1487,225,63.7,-53.8,-108.7,-386,-253,299,2
-1952,-320,-750,-60.4,-104.2,-281.0,-381,-334,263,2
-1584,1228,-1188,305.3,-88.4,-216.8,-359,-435,203,2
-881,1559,-883,-51.4,-42.8,-65.3,-330,-449,169,2
-13,-192,-545,-162.4,93.8,202.9,-356,-423,215,2
-384,-395,-485,41.9,163.3,403.0,-396,-297,268,2
-1974,421,-55,12.7,268.0,472.5,-369,-144,352,2
-1998,-1998,994,-201.0,221.9,357.4,-268,-9,405,2
-932,-1998,1507,-148.1,19.5,56.0,-220,51,394,2
-731,-1998,-1404,-94.9,-14.4,-203.6,-264,42,356,2
1580,1903,494,339.5,-109.2,-292.2,-334,-77,354,2
-512,-1135,123,51.4,-55.3,-179.7,-370,-147,325,2
-1793,-532,67,-7.2,-61.2,-54.3,-380,-173,307,2
-1995,364,-127,-4.9,-42.0,-76.7,-400,-210,293,2
-1849,1459,-103,129.9,-37.5,-102.9,-386,-235,292,2
-1998,-105,-607,-158.2,-109.4,-282.2,-390,-307,260,2
-1805,370,-1354,241.2,-71.5,-239.6,-371,-409,217,2
