X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-951,-178,-242,1.1,-1.5,0.4,-326,-298,90,0
-950,-178,-242,1.1,-1.7,0.4,-326,-296,90,0
-951,-179,-241,1.1,-1.8,0.4,-322,-301,89,0
-950,-180,-241,0.9,-1.8,0.4,-316,-305,87,0
-950,-177,-240,1.3,-1.7,0.6,-323,-292,88,0
-951,-178,-242,1.1,-1.6,0.4,-320,-305,83,0
-950,-179,-242,0.9,-1.6,0.2,-324,-308,83,0
-952,-178,-241,1.3,-1.7,0.4,-317,-305,98,0
-950,-179,-243,0.8,-1.8,0.4,-327,-302,91,0
-951,-181,-241,0.9,-1.7,0.4,-321,-301,85,0
-951,-178,-243,0.9,-1.6,0.5,-326,-304,86,0
-950,-180,-243,1.1,-1.7,0.4,-324,-301,84,0
-951,-179,-243,0.9,-1.8,0.4,-320,-302,84,0
-952,-178,-242,1.1,-1.8,0.4,-322,-314,91,0
-950,-180,-242,0.9,-2.0,0.4,-323,-296,78,0
-950,-178,-240,1.0,-1.8,0.4,-322,-300,82,0
-952,-178,-241,1.1,-1.7,0.4,-323,-296,86,0
-950,-179,-242,0.9,-1.6,0.4,-324,-304,85,0
-951,-177,-240,1.1,-1.8,0.4,-318,-295,91,0
-950,-181,-241,1.0,-1.8,0.4,-319,-302,96,0
-950,-178,-241,1.1,-1.8,0.4,-324,-294,90,0
-951,-180,-242,0.9,-1.7,0.5,-323,-302,96,0
-950,-177,-240,1.4,-1.8,0.4,-327,-296,81,0
-951,-181,-242,0.9,-1.6,0.4,-321,-309,92,0
-950,-178,-241,1.1,-1.7,0.4,-318,-303,84,0
-951,-179,-241,1.2,-1.6,0.4,-328,-294,90,0
-950,-179,-241,0.9,-1.6,0.4,-324,-302,78,0
-951,-178,-241,1.1,-1.7,0.5,-315,-298,76,0
-950,-177,-241,1.0,-1.6,0.4,-319,-293,86,0
-950,-179,-242,0.9,-1.7,0.3,-325,-297,90,0
-950,-179,-242,1.1,-1.8,0.4,-322,-298,77,0
-950,-180,-242,1.1,-1.7,0.4,-319,-299,85,0
-951,-179,-242,0.9,-1.8,0.4,-323,-297,88,0
-949,-179,-241,1.0,-1.7,0.4,-323,-303,89,0
