X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-338,-370,302,157.6,4.0,102.4,-193,-27,90,3
-1552,-560,221,-44.5,37.8,20.0,-177,-33,112,3
-1964,-854,33,14.2,21.4,-4.2,-178,-38,151,3
-1995,-79,-13,112.2,-8.1,-34.1,-188,-63,155,3
-1779,191,-210,23.9,-28.5,-71.3,-202,-90,139,3
-1998,-164,294,-142.8,-33.9,-162.9,-214,-133,126,3
-1523,-474,-394,76.6,-47.7,-130.8,-219,-130,97,3
-1998,411,515,59.5,-69.1,-105.2,-235,-161,70,3
-1078,-603,-275,-82.8,-37.1,-105.2,-245,-190,41,3
-1258,-451,5,45.9,-33.1,-59.2,-273,-181,35,3
-838,-78,138,44.3,-14.2,-5.1,-291,-178,22,3
-267,-159,52,-44.8,14.6,44.1,-302,-172,31,3
219,-23,-139,-5.6,37.5,113.4,-306,-136,50,3
368,374,-54,5.1,35.3,138.3,-276,-90,61,3
349,589,156,-60.7,38.2,145.6,-254,-101,38,3
-208,-1723,-82,-89.6,31.9,110.7,-225,-59,57,3
-685,-554,363,112.0,21.7,80.5,-191,-30,76,3
-1296,-477,204,-24.0,32.8,31.4,-175,-40,106,3
-1662,-1002,56,2.3,24.8,3.9,-178,-46,125,3
-1878,-108,-85,100.5,-16.3,-25.8,-181,-73,147,3
-1742,21,-264,-5.6,-32.8,-72.5,-192,-105,123,3
-1998,-204,577,-125.7,-42.2,-159.6,-201,-127,91,3
-1555,-455,-242,83.5,-58.9,-120.4,-204,-136,76,3
-1716,381,558,62.6,-72.6,-108.6,-219,-171,49,3
-1223,-403,50,-76.9,-29.4,-109.9,-249,-197,22,3
-1151,-590,153,13.9,-14.3,-74.4,-261,-198,3,3
-829,-225,-4,42.8,7.2,-26.0,-297,-200,33,3
-438,-62,-51,13.3,44.6,40.8,-307,-180,55,3
-25,-129,-36,-23.4,50.8,105.9,-313,-152,69,3
456,17,-58,-10.7,44.0,125.0,-300,-108,66,3
386,462,270,16.0,11.6,147.0,-273,-101,66,3
-543,-928,-571,-203.5,66.5,63.5,-241,-71,58,3
-366,-978,314,131.7,10.2,114.1,-209,-38,96,3
-863,-269,337,50.1,12.3,70.3,-195,-42,103,3
-1572,-1030,-9,-60.1,16.1,13.4,-183,-37,120,3
-1915,-191,-1,109.5,-17.2,2.3,-182,-57,140,3
-1706,36,-139,-36.6,-27.8,-61.9,-182,-80,127,3
-1945,-113,170,-48.5,-36.9,-98.2,-202,-116,105,3
-1413,-455,-235,38.9,-55.5,-118.9,-206,-132,87,3
-1490,191,-47,83.7,-64.8,-113.8,-214,-140,74,3
-1651,68,165,-21.4,-41.8,-118.4,-235,-166,47,3
-1273,-515,-23,-44.4,-16.1,-95.4,-254,-190,32,3
-1039,-493,8,8.8,-1.2,-49.7,-282,-190,34,3
-683,-232,-16,30.5,7.4,5.8,-298,-189,45,3
-188,-124,-23,-0.4,31.2,79.0,-309,-164,63,3
239,92,-119,23.3,41.9,130.9,-306,-132,71,3
331,471,222,-13.5,37.3,132.7,-277,-89,60,3
73,92,83,-66.2,33.1,124.6,-247,-96,55,3
-594,-1882,-125,-134.7,26.7,84.1,-223,-49,79,3
-937,-550,193,152.8,11.8,76.2,-196,-42,94,3
-1194,-508,293,-31.3,20.0,29.4,-189,-39,113,3
-1784,-1270,-37,-1.1,9.8,-6.6,-168,-40,145,3
-1998,251,106,102.6,-27.1,-37.0,-184,-66,151,3
-1695,15,-195,-45.2,-24.7,-80.0,-197,-94,129,3
-1982,-589,-317,-114.8,-42.0,-155.1,-210,-124,128,3
-1885,-41,-112,71.4,-47.1,-122.8,-214,-136,101,3
-1383,127,396,41.1,-63.5,-100.8,-231,-160,68,3
-1235,-393,65,-47.3,-48.7,-104.9,-253,-187,38,3
-1319,-481,-23,-23.6,-9.8,-69.7,-272,-201,25,3
-887,-281,14,24.2,1.1,-10.7,-297,-193,29,3
-445,-277,57,-5.1,21.6,53.6,-312,-179,47,3
210,-97,-128,16.9,36.0,118.6,-306,-141,54,3
324,447,-1,8.4,35.2,126.5,-280,-98,69,3
360,429,216,-32.1,13.5,151.2,-267,-112,49,3
-638,-1841,-304,-205.3,49.2,75.1,-220,-57,63,3
-671,-763,310,160.9,14.8,81.4,-200,-32,91,3
-1083,-277,601,-2.6,38.9,37.8,-181,-37,101,3
-1580,-1259,80,-32.8,28.9,12.1,-174,-35,157,3
-1994,-308,13,179.6,-3.1,-25.8,-182,-50,161,3
-1822,300,-131,-3.8,-23.7,-72.3,-195,-84,162,3
-1998,-86,133,-98.7,-38.3,-126.3,-218,-120,117,3
-1504,-665,-412,-4.5,-54.7,-135.8,-219,-131,107,3
-1513,255,174,127.0,-76.6,-91.0,-228,-154,72,3
-1220,-172,35,-55.0,-64.6,-109.9,-243,-186,39,3
-1292,-517,56,-41.4,-18.2,-75.1,-265,-189,24,3
-964,-377,27,12.1,-4.9,-23.8,-289,-186,24,3
-390,-164,-46,34.5,23.8,54.4,-308,-166,50,3
-42,84,0,16.5,37.1,115.1,-303,-131,59,3
292,242,-10,-30.8,34.7,132.7,-279,-89,68,3
507,373,242,4.8,7.7,158.6,-266,-93,44,3
-495,-1182,-480,-241.0,74.1,49.3,-231,-60,50,3
-682,-993,525,141.1,18.2,91.8,-199,-28,83,3
-865,-247,530,55.0,32.9,64.0,-189,-36,107,3
-1414,-1052,123,-72.8,31.9,7.8,-182,-50,135,3
-1797,-976,-342,153.6,-8.2,-13.9,-182,-50,169,3
-1975,649,-106,96.8,-43.1,-52.0,-195,-72,163,3
-1956,63,260,-96.1,-28.0,-99.0,-204,-111,133,3
-1388,-822,-526,-84.3,-54.3,-150.0,-218,-130,101,3
-1842,307,-122,132.3,-70.9,-102.4,-231,-156,80,3
-1127,-60,-90,-21.4,-57.6,-115.3,-247,-178,46,3
-1259,-437,-56,-49.2,-32.9,-87.3,-264,-201,35,3
-1085,-471,-43,-6.5,-14.7,-25.0,-284,-202,24,3
-727,-306,46,4.9,-0.8,30.9,-301,-194,27,3
167,-169,-119,16.8,17.3,93.8,-314,-154,51,3
81,315,69,49.7,37.1,136.7,-292,-120,53,3
497,655,401,35.0,4.0,167.0,-277,-91,60,3
-308,-673,-309,-274.6,78.0,45.5,-255,-97,39,3
