X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-998,-60,-21,1.0,-2.0,0.2,-310,-296,-19,1
-1000,-59,-19,1.2,-2.0,0.4,-300,-304,-15,1
-998,-57,-20,1.4,-2.0,0.5,-303,-304,-24,1
-999,-60,-20,1.4,-1.7,0.6,-298,-308,-20,1
-999,-53,-15,1.6,-1.6,0.9,-296,-307,-17,1
-999,-54,-22,1.1,-1.7,0.7,-302,-302,-20,1
-999,-58,-21,1.0,-1.8,0.5,-301,-301,-16,1
-1000,-57,-21,1.0,-1.9,0.6,-303,-306,-30,1
-1000,-58,-22,1.1,-1.6,0.8,-298,-302,-27,1
-999,-61,-19,0.9,-1.6,0.9,-307,-303,-20,1
-1000,-55,-23,0.9,-1.8,0.7,-303,-306,-14,1
-999,-56,-22,1.0,-2.0,0.4,-302,-311,-22,1
-999,-59,-22,0.7,-1.8,0.4,-301,-304,-19,1
-999,-56,-20,1.0,-1.8,0.8,-304,-306,-4,1
-999,-55,-21,0.9,-1.9,0.4,-293,-304,-20,1
-1003,-52,-22,1.2,-1.9,0.5,-304,-298,-23,1
-999,-55,-22,1.1,-2.0,0.5,-295,-305,-23,1
-997,-59,-21,0.8,-2.0,0.4,-303,-306,-19,1
-999,-56,-21,1.0,-1.8,0.4,-299,-310,-29,1
-999,-55,-22,1.1,-1.7,0.5,-301,-306,-22,1
-1000,-57,-19,0.9,-1.8,0.4,-294,-303,-16,1
-998,-57,-22,1.0,-1.8,0.4,-296,-302,-23,1
-999,-55,-22,1.3,-2.0,0.4,-300,-306,-5,1
-1000,-54,-23,1.2,-1.9,0.4,-290,-301,-11,1
-999,-57,-22,0.6,-1.6,0.6,-295,-300,-15,1
-997,-64,-22,1.1,-1.7,0.7,-294,-307,-12,1
-999,-54,-22,1.4,-1.7,0.7,-299,-312,-10,1
-998,-55,-21,0.8,-2.0,0.4,-301,-308,-18,1
-997,-62,-25,0.9,-2.1,0.2,-303,-311,-7,1
-1001,-52,-21,1.3,-1.8,0.7,-299,-299,-5,1
-996,-61,-23,0.8,-2.0,0.3,-300,-301,-12,1
-1000,-56,-22,1.1,-1.6,0.6,-300,-294,-16,1
-999,-56,-22,1.0,-1.6,0.7,-302,-305,-17,1
-999,-57,-21,1.3,-1.4,0.9,-301,-305,-11,1
-999,-51,-23,1.4,-1.6,0.8,-294,-302,-11,1
-998,-54,-23,1.1,-1.8,0.5,-302,-304,0,1
-1000,-56,-24,1.3,-2.1,0.2,-299,-299,-13,1
-1000,-53,-23,1.0,-2.0,0.3,-298,-300,-7,1
-999,-58,-22,1.1,-1.9,0.3,-304,-305,0,1
-997,-58,-23,0.9,-1.8,0.5,-300,-309,-12,1
-996,-59,-22,1.4,-1.9,0.4,-298,-302,-4,1
-1001,-51,-23,1.5,-1.8,0.7,-309,-308,-6,1
-998,-52,-24,1.2,-2.1,0.4,-294,-296,-2,1
-999,-51,-22,1.2,-2.3,0.1,-299,-309,3,1
-1000,-52,-21,1.1,-2.3,0.2,-301,-308,-8,1
-999,-59,-25,1.2,-2.3,0.2,-301,-305,-5,1
-999,-52,-23,1.7,-2.8,-0.5,-306,-301,-23,1
-1001,-52,-16,1.2,-2.1,0.5,-302,-296,-23,1
-996,-66,-19,1.1,-1.9,0.2,-299,-301,-14,1
-1004,-50,-21,1.6,-2.3,0.2,-294,-303,-14,1
-1000,-60,-18,1.2,-2.1,0.4,-289,-299,-11,1
-998,-59,-19,0.9,-1.9,0.6,-297,-308,-15,1
-997,-55,-22,1.1,-2.1,0.7,-292,-307,-20,1
-1002,-54,-20,0.9,-2.1,0.6,-303,-300,-4,1
-996,-57,-22,1.4,-2.3,0.2,-296,-307,-16,1
-998,-51,-19,1.4,-2.5,0.1,-295,-296,-7,1
-1000,-54,-23,0.7,-2.5,-0.2,-299,-301,-23,1
-1000,-62,-20,1.3,-2.4,0.1,-305,-304,-25,1
